,fips,objectid,id,acstotpop,acsipovbas,acseducbas,acstothh,acstothu,minorpop,minorpct,lowincome,lowincpct,lesshs,lesshspct,under5,under5pct,over64,over64pct,pre1960,pre1960pct,vuleopct,vuleo,dispeo,dslpm,cancer,resp,ptraf,pwdis,pnpl,prmp,ptsdf,ozone,pm25,state_name,region,arealand,areawater,npl_cnt,tsdf_cnt,shape_length,shape_area
85,37169,148316,3.71691E+11,1480.806452,1462.870968,1083.935484,622.6451613,715.6774194,129.7419355,0.093901446,493.3225806,0.348244317,178.3548387,0.173940592,66.16129032,0.043510663,293.483871,0.20795732,115.2258065,0.164852194,0.221072882,314.8444187,-209.6588926,0.176468675,29.92433062,0.378424589,NA,NA,0.024554835,0.092217573,0.325799192,43.85663626,7.818871363,NA,4,37514194,567236.871,0,0.064516129,39602.69623,58901444.98
86,37171,148361,3.71719E+11,1222.016949,1204.677966,858.9322034,491.2711864,576.779661,192.8983051,0.153980074,512.8474576,0.421732518,186.3559322,0.214000638,62.88135593,0.05045109,240.4915254,0.201895572,137.5762712,0.23097666,0.287856296,357.2810246,-75.55875386,0.187499974,28.03075219,0.363457328,NA,NA,0.032553165,0.427293179,0.179328662,42.81761713,7.638204807,NA,4,23430268.9,175213.4068,0,0.050847458,29707.95268,36523191.81
87,37173,148396.5,3.7174E+11,1187.833333,1171.75,821.4166667,453.5833333,745.9166667,448.8333333,0.291156456,559.75,0.420564153,178.4166667,0.204069172,74.83333333,0.04973617,227.5833333,0.192927101,107.25,0.148267373,0.355860304,508.1536872,87.421784,NA,NA,NA,NA,NA,0.028924486,0.043052144,0.201269955,40.71103159,7.311666637,NA,4,113900871.5,2701347.25,0,0.083333333,64159.96593,176258315.2
88,37175,148415,3.7176E+11,1340.52,1298.76,1014.6,564.92,782.4,129.96,0.084742912,501.16,0.397149906,116,0.117778563,56.4,0.04337018,389,0.288097633,145.44,0.223642797,0.240946409,323.8428674,-150.970825,0.101962685,24.20717825,0.298856359,NA,NA,0.036143224,0.207022734,0.768332042,41.13817258,7.122075521,NA,4,39205659.76,204405.56,0,0.2,38617.02823,59158429.28
89,37177,148430,3.7178E+11,823.8,685,660.8,326.2,445.8,384.4,0.384380574,352.2,0.408449967,161.8,0.20181076,23.4,0.024354493,175.2,0.17947837,127.8,0.231184523,0.39641527,384.6712821,92.8803951,0.129352583,23.23082072,0.295012343,NA,NA,0.009602298,0.138971332,0.034739653,38.95504706,6.717312082,NA,4,202420783.8,106914890.4,0,0,99363.75612,472064660.5
90,37179,148484,3.7179E+11,2200.912621,2173.048544,1398.407767,729.7572816,773.2427184,603.223301,0.278619419,518.3592233,0.26687656,142.4757282,0.116486957,129.0776699,0.056877107,264.7475728,0.128758736,67.33980583,0.106787851,0.272747989,566.8866458,-212.6790811,0.336124825,36.75110162,0.506246588,NA,NA,0.050049336,0.345943344,1.010518144,43.77941147,8.611827972,NA,4,15909267.83,174911.4563,0,0.194174757,20752.71338,24018825.23
91,37181,148552,3.7182E+11,1347.939394,1324.242424,907.1212121,510.7272727,609.6060606,808.5151515,0.660342144,661.1212121,0.537060739,181.7575758,0.218364966,83.75757576,0.070880518,234.7272727,0.173922465,133.5151515,0.264207508,0.598701441,740.7815885,263.3399385,0.231268308,33.08214539,0.433966887,NA,NA,0.053054379,0.351350001,0.601298435,42.1056791,8.223186193,NA,4,19809333.97,1278306.939,0,0.060606061,23628.93888,32586050.87
92,37183,148796,3.71831E+11,2300.127473,2251.035165,1527.213187,858.2373626,926.210989,912.8813187,0.373277686,527.2527473,0.25152205,110.9472527,0.077804029,145.9098901,0.058451534,250.2241758,0.124259054,65.79340659,0.100774699,0.312399868,727.1954639,-87.512275,0.429324674,36.51520062,0.494314661,NA,NA,0.127167325,0.222856931,2.048479599,43.24921118,8.914698908,NA,4,4752041.589,127631.1956,0.006593407,0.162637363,11247.36874,7431963.107
93,37185,149031,3.7186E+11,1335.533333,1271.866667,961.1333333,518.6666667,796.5333333,823.8,0.575485779,581.4666667,0.437854599,187.5333333,0.188686246,57.13333333,0.044450487,315.7333333,0.248803711,144.3333333,0.206628874,0.506670189,716.6377259,243.5903164,0.169238354,30.93599751,0.411059128,NA,NA,0.023064707,0.045572863,0.042719487,41.31524379,7.980442502,NA,4,74094195.93,2621338.933,0,0,55853.22556,118641479.2
94,37187,149046,3.7188E+11,810.4,797,559.0666667,338.2,430.5333333,450.1333333,0.497598959,385,0.44048986,112.2,0.180067603,42.4,0.047057276,184.9333333,0.22285736,97.13333333,0.205078515,0.46904441,418.3382791,131.2936872,0.133311556,24.87767362,0.332571928,NA,NA,0.018353096,0.302554652,0.051223574,39.13543325,7.030488515,NA,4,59830413.53,13018813.33,0,0,45613.67273,111088117.5
95,37189,149069,3.71899E+11,1745.709677,1560.290323,999.483871,656.6129032,1081.290323,141.6774194,0.080922385,685.9032258,0.414043876,104.6129032,0.099452589,57.67741935,0.038055165,264.516129,0.177381988,135.3548387,0.141399524,0.24748313,482.2409195,-136.0914125,0.124267842,21.94131822,0.267241429,NA,NA,0.025480489,0.027453745,0.435638278,42.88532009,6.975358396,NA,4,26101948.94,75234.16129,0,0.064516129,35324.13473,40313310.08
96,37191,149122,3.7191E+11,1653.36,1608.586667,1094.733333,642.04,720.9866667,764.8266667,0.484791552,722.3066667,0.465634624,174.0133333,0.171734429,111.1733333,0.063421143,257.6266667,0.163793853,123.1733333,0.208093328,0.475213088,752.3040413,166.6820689,0.208782789,31.65313132,0.419734303,NA,NA,0.013158771,0.189193663,0.540428912,41.0168935,8.147967635,NA,4,19128510.16,131402.5467,0,0.053333333,24325.8453,29025849.11
97,37193,149186,3.7194E+11,1291.698113,1271.490566,925.7924528,535,631.6981132,160.754717,0.12670923,549.6226415,0.433596784,198.5283019,0.217278445,64.24528302,0.046220239,264.2830189,0.208918162,122.6792453,0.213925976,0.280153007,359.9628801,-97.55804504,0.151596145,27.88876688,0.364730474,NA,NA,0.036488529,0.685846499,0.329425486,42.38773767,7.707808806,NA,4,36872636.89,129479.8679,0,0.075471698,36349.71398,56948214.72
98,37195,149240,3.7195E+11,1478.836364,1450.436364,1004.581818,584.1454545,654.6363636,780.9090909,0.570644581,632.2545455,0.49340988,197.8181818,0.227993017,87.72727273,0.054336931,251.0727273,0.175832913,146.3272727,0.271390307,0.532027231,715.1184913,191.3129873,0.259196519,31.51646613,0.413307855,201.722233,NA,0.014350935,0.955663327,0.604238484,41.58397219,8.106570989,NA,4,17309323.36,260594.3636,0,0.127272727,21296.15844,26702991.31
99,37197,149281.5,3.71971E+11,1345.178571,1332.5,951.1785714,551.7142857,621.4642857,209.2142857,0.150666641,556.3214286,0.428269439,180.4285714,0.18439632,70.71428571,0.053500905,257.4285714,0.193809244,145.6785714,0.249835355,0.28946804,385.4221595,-91.04160414,0.208637337,30.39726425,0.404487262,NA,NA,0.12792135,0.17458549,0.197508878,43.6250356,8.100779493,NA,4,30982003.71,258306.9286,0.035714286,0.035714286,32201.20425,48024718.12
100,37199,149302,3.72E+11,1359,1346.846154,1009.153846,569.3846154,862.3846154,100.5384615,0.074976965,610.1538462,0.452580365,159.6923077,0.156183167,63.53846154,0.045045343,336.8461538,0.249638029,170.3076923,0.213262064,0.263778665,358.0441465,-123.3151827,0.096330231,21.61371135,0.26684101,NA,NA,0.028564969,0.042111638,0.357701142,43.5821731,6.937256929,NA,4,62277694.38,117273.9231,0,0.153846154,54798.25475,95288562.89
